ablation_name,seed,checkpoint_path,checkpoint_sha256,best_val_macro_f1,epochs_trained,deepdrid_macro_f1,deepdrid_accuracy,variant
proposed_multitask_seed_2026,2026,artifacts/metrics/ablations_runs/proposed_multitask/seed_2026/best.ckpt,418c4213b1c72399983205975e1d5d75b177a56f088a7a0f313a7d283a35ab0f,0.6304,9,0.743,0.7475,proposed_multitask
proposed_multitask_seed_2027,2027,artifacts/metrics/ablations_runs/proposed_multitask/seed_2027/best.ckpt,b4b65805eebec5e62e484040d302f183129b108ef1f6aeaaca1fd8f2595b0eb9,0.6214,8,0.7644,0.765,proposed_multitask
proposed_multitask_seed_2028,2028,artifacts/metrics/ablations_runs/proposed_multitask/seed_2028/best.ckpt,85947a83131bd1e237d15edca73c9d1582a17a4576791838f11ef81816b9ac30,0.6534,14,0.7264,0.7275,proposed_multitask
singletask_overall_quality_seed_2026,2026,artifacts/metrics/ablations_runs/singletask_overall_quality/seed_2026/best.ckpt,ef099ec907ae17392c0fce4ee97369432010d249c5d426f65f1631ab0c65c4d0,0.4634,20,0.7366,0.7375,singletask_overall_quality
singletask_overall_quality_seed_2027,2027,artifacts/metrics/ablations_runs/singletask_overall_quality/seed_2027/best.ckpt,fddab76840598c6cd1a9e1407048e9763ea139df5ac633ea2fa49a3335148b41,0.488,8,0.7471,0.7475,singletask_overall_quality
singletask_overall_quality_seed_2028,2028,artifacts/metrics/ablations_runs/singletask_overall_quality/seed_2028/best.ckpt,9a0f73f2a12e8c46e1829a02897d857f298f6a16fbae88848c2bdad173fddd5a,0.4243,8,0.7421,0.7425,singletask_overall_quality
no_label_smoothing_seed_2026,2026,artifacts/metrics/ablations_runs/no_label_smoothing/seed_2026/best.ckpt,2eb2d5fe01e8b9cb74f71f9e4d45213162ba079d7ed2c6ae7e3dd497e40c14ae,0.6389,9,0.7514,0.755,no_label_smoothing
no_label_smoothing_seed_2027,2027,artifacts/metrics/ablations_runs/no_label_smoothing/seed_2027/best.ckpt,55ae28b8e499cd32f6ba3fe42c14d247684d1fde3afdabd927413d34e55abf69,0.6336,12,0.7071,0.7075,no_label_smoothing
no_label_smoothing_seed_2028,2028,artifacts/metrics/ablations_runs/no_label_smoothing/seed_2028/best.ckpt,bac1ad5a574922f94ae67100bd83e363c0d8a07740805d05b594d4a6b63cfb1c,0.653,14,0.7371,0.7375,no_label_smoothing
aux_weight_1_0_seed_2026,2026,artifacts/metrics/ablations_runs/aux_weight_1_0/seed_2026/best.ckpt,6a6400056fb92ebf68505406b6cae4060c1fa438be49f945d361b25a2e127d7a,0.639,10,0.7145,0.7225,aux_weight_1_0
aux_weight_1_0_seed_2027,2027,artifacts/metrics/ablations_runs/aux_weight_1_0/seed_2027/best.ckpt,75821036e8c09e56f03995d67ba8418c5ef6e52c99051972637ecf6eb30fb5a4,0.6377,10,0.6856,0.6875,aux_weight_1_0
aux_weight_1_0_seed_2028,2028,artifacts/metrics/ablations_runs/aux_weight_1_0/seed_2028/best.ckpt,7596120a80d2c96f43445c1a1b84aa88a042dc771096c4f65f3c5cbb76027101,0.6187,2,0.7534,0.755,aux_weight_1_0
