dataset,image_id,path,reason,detail,source_split
eyeq,10009_left,data/raw/eyeq/images/10009_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10009_left.jpeg,train
eyeq,10009_right,data/raw/eyeq/images/10009_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10009_right.jpeg,train
eyeq,10014_left,data/raw/eyeq/images/10014_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10014_left.jpeg,train
eyeq,10014_right,data/raw/eyeq/images/10014_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10014_right.jpeg,train
eyeq,10015_left,data/raw/eyeq/images/10015_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10015_left.jpeg,train
eyeq,10015_right,data/raw/eyeq/images/10015_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10015_right.jpeg,train
eyeq,10017_left,data/raw/eyeq/images/10017_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10017_left.jpeg,train
eyeq,1002_left,data/raw/eyeq/images/1002_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1002_left.jpeg,train
eyeq,10022_right,data/raw/eyeq/images/10022_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10022_right.jpeg,train
eyeq,10028_left,data/raw/eyeq/images/10028_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10028_left.jpeg,train
eyeq,10029_left,data/raw/eyeq/images/10029_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10029_left.jpeg,train
eyeq,10030_left,data/raw/eyeq/images/10030_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10030_left.jpeg,train
eyeq,10030_right,data/raw/eyeq/images/10030_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10030_right.jpeg,train
eyeq,10031_left,data/raw/eyeq/images/10031_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10031_left.jpeg,train
eyeq,10031_right,data/raw/eyeq/images/10031_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10031_right.jpeg,train
eyeq,10043_left,data/raw/eyeq/images/10043_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10043_left.jpeg,train
eyeq,10043_right,data/raw/eyeq/images/10043_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10043_right.jpeg,train
eyeq,10058_left,data/raw/eyeq/images/10058_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10058_left.jpeg,train
eyeq,10061_left,data/raw/eyeq/images/10061_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10061_left.jpeg,train
eyeq,10061_right,data/raw/eyeq/images/10061_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10061_right.jpeg,train
eyeq,10069_right,data/raw/eyeq/images/10069_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10069_right.jpeg,train
eyeq,1008_left,data/raw/eyeq/images/1008_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/1008_left.jpeg,train
eyeq,10085_left,data/raw/eyeq/images/10085_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10085_left.jpeg,train
eyeq,10085_right,data/raw/eyeq/images/10085_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10085_right.jpeg,train
eyeq,10095_left,data/raw/eyeq/images/10095_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10095_left.jpeg,train
eyeq,10100_left,data/raw/eyeq/images/10100_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10100_left.jpeg,train
eyeq,10100_right,data/raw/eyeq/images/10100_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10100_right.jpeg,train
eyeq,10112_left,data/raw/eyeq/images/10112_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10112_left.jpeg,train
eyeq,10116_left,data/raw/eyeq/images/10116_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10116_left.jpeg,train
eyeq,10116_right,data/raw/eyeq/images/10116_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10116_right.jpeg,train
eyeq,10124_left,data/raw/eyeq/images/10124_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10124_left.jpeg,train
eyeq,10124_right,data/raw/eyeq/images/10124_right.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10124_right.jpeg,train
eyeq,10125_left,data/raw/eyeq/images/10125_left.jpeg,missing_image,File does not exist at data/raw/eyeq/images/10125_left.jpeg,train
